j EnclosedMass[g] radius[cm] velocity[cm/s] density[g/cc] X_H X_He
198 1.097e+32 6.217e+14 1.000e+07 4.588e-14 7.000e-01 2.800e-01
199 1.110e+32 6.275e+14 1.000e+07 4.499e-14 7.000e-01 2.800e-01
200 1.122e+32 6.333e+14 1.000e+07 4.412e-14 7.000e-01 2.800e-01
201 1.136e+32 6.392e+14 1.000e+07 4.326e-14 7.000e-01 2.800e-01
202 1.149e+32 6.451e+14 1.000e+07 4.241e-14 7.000e-01 2.800e-01
203 1.162e+32 6.511e+14 1.000e+07 4.158e-14 7.000e-01 2.800e-01
204 1.175e+32 6.571e+14 1.000e+07 4.076e-14 7.000e-01 2.800e-01
205 1.189e+32 6.632e+14 1.000e+07 3.995e-14 7.000e-01 2.800e-01
206 1.202e+32 6.693e+14 1.000e+07 3.916e-14 7.000e-01 2.800e-01
207 1.216e+32 6.756e+14 1.000e+07 3.839e-14 7.000e-01 2.800e-01
208 1.230e+32 6.818e+14 1.000e+07 3.762e-14 7.000e-01 2.800e-01
209 1.244e+32 6.881e+14 1.000e+07 3.687e-14 7.000e-01 2.800e-01
210 1.258e+32 6.945e+14 1.000e+07 3.613e-14 7.000e-01 2.800e-01
211 1.272e+32 7.010e+14 1.000e+07 3.541e-14 7.000e-01 2.800e-01
212 1.286e+32 7.075e+14 1.000e+07 3.469e-14 7.000e-01 2.800e-01
213 1.300e+32 7.140e+14 1.000e+07 3.399e-14 7.000e-01 2.800e-01
214 1.314e+32 7.206e+14 1.000e+07 3.331e-14 7.000e-01 2.800e-01
215 1.329e+32 7.273e+14 1.000e+07 3.263e-14 7.000e-01 2.800e-01
216 1.344e+32 7.341e+14 1.000e+07 3.196e-14 7.000e-01 2.800e-01
217 1.358e+32 7.409e+14 1.000e+07 3.131e-14 7.000e-01 2.800e-01
218 1.373e+32 7.477e+14 1.000e+07 3.067e-14 7.000e-01 2.800e-01
219 1.388e+32 7.547e+14 1.000e+07 3.004e-14 7.000e-01 2.800e-01
220 1.403e+32 7.617e+14 1.000e+07 2.942e-14 7.000e-01 2.800e-01
221 1.418e+32 7.687e+14 1.000e+07 2.881e-14 7.000e-01 2.800e-01
222 1.433e+32 7.759e+14 1.000e+07 2.821e-14 7.000e-01 2.800e-01
223 1.449e+32 7.830e+14 1.000e+07 2.762e-14 7.000e-01 2.800e-01
224 1.464e+32 7.903e+14 1.000e+07 2.705e-14 7.000e-01 2.800e-01
225 1.480e+32 7.976e+14 1.000e+07 2.648e-14 7.000e-01 2.800e-01
226 1.495e+32 8.050e+14 1.000e+07 2.592e-14 7.000e-01 2.800e-01
227 1.511e+32 8.125e+14 1.000e+07 2.538e-14 7.000e-01 2.800e-01
228 1.527e+32 8.200e+14 1.000e+07 2.484e-14 7.000e-01 2.800e-01
229 1.543e+32 8.276e+14 1.000e+07 2.431e-14 7.000e-01 2.800e-01
230 1.559e+32 8.353e+14 1.000e+07 2.380e-14 7.000e-01 2.800e-01
231 1.575e+32 8.430e+14 1.000e+07 2.329e-14 7.000e-01 2.800e-01
232 1.591e+32 8.509e+14 1.000e+07 2.279e-14 7.000e-01 2.800e-01
233 1.607e+32 8.588e+14 1.000e+07 2.230e-14 7.000e-01 2.800e-01
234 1.624e+32 8.667e+14 1.000e+07 2.182e-14 7.000e-01 2.800e-01
235 1.640e+32 8.747e+14 1.000e+07 2.135e-14 7.000e-01 2.800e-01
236 1.657e+32 8.829e+14 1.000e+07 2.088e-14 7.000e-01 2.800e-01
237 1.673e+32 8.910e+14 1.000e+07 2.043e-14 7.000e-01 2.800e-01
238 1.690e+32 8.993e+14 1.000e+07 1.998e-14 7.000e-01 2.800e-01
239 1.707e+32 9.076e+14 1.000e+07 1.954e-14 7.000e-01 2.800e-01
240 1.724e+32 9.161e+14 1.000e+07 1.911e-14 7.000e-01 2.800e-01
241 1.741e+32 9.246e+14 1.000e+07 1.869e-14 7.000e-01 2.800e-01
242 1.758e+32 9.331e+14 1.000e+07 1.828e-14 7.000e-01 2.800e-01
243 1.775e+32 9.418e+14 1.000e+07 1.787e-14 7.000e-01 2.800e-01
244 1.793e+32 9.505e+14 1.000e+07 1.747e-14 7.000e-01 2.800e-01
245 1.810e+32 9.593e+14 1.000e+07 1.708e-14 7.000e-01 2.800e-01
246 1.828e+32 9.682e+14 1.000e+07 1.670e-14 7.000e-01 2.800e-01
247 1.845e+32 9.772e+14 1.000e+07 1.632e-14 7.000e-01 2.800e-01
248 1.863e+32 9.863e+14 1.000e+07 1.595e-14 7.000e-01 2.800e-01
249 1.881e+32 9.954e+14 1.000e+07 1.559e-14 7.000e-01 2.800e-01
250 1.898e+32 1.005e+15 1.000e+07 1.523e-14 7.000e-01 2.800e-01
251 1.916e+32 1.014e+15 1.000e+07 1.488e-14 7.000e-01 2.800e-01
252 1.934e+32 1.023e+15 1.000e+07 1.454e-14 7.000e-01 2.800e-01
