j EnclosedMass[g] radius[cm] velocity[cm/s] density[g/cc] X_H X_He
271 1.924e+32 1.219e+15 1.000e+07 5.003e-15 7.000e-01 2.800e-01
272 1.935e+32 1.231e+15 1.000e+07 4.857e-15 7.000e-01 2.800e-01
273 1.945e+32 1.242e+15 1.000e+07 4.714e-15 7.000e-01 2.800e-01
274 1.955e+32 1.254e+15 1.000e+07 4.574e-15 7.000e-01 2.800e-01
275 1.966e+32 1.265e+15 1.000e+07 4.439e-15 7.000e-01 2.800e-01
276 1.976e+32 1.277e+15 1.000e+07 4.307e-15 7.000e-01 2.800e-01
277 1.987e+32 1.289e+15 1.000e+07 4.178e-15 7.000e-01 2.800e-01
278 1.997e+32 1.301e+15 1.000e+07 4.053e-15 7.000e-01 2.800e-01
279 2.007e+32 1.313e+15 1.000e+07 3.931e-15 7.000e-01 2.800e-01
280 2.017e+32 1.325e+15 1.000e+07 3.813e-15 7.000e-01 2.800e-01
281 2.028e+32 1.337e+15 1.000e+07 3.697e-15 7.000e-01 2.800e-01
282 2.038e+32 1.350e+15 1.000e+07 3.585e-15 7.000e-01 2.800e-01
283 2.048e+32 1.362e+15 1.000e+07 3.476e-15 7.000e-01 2.800e-01
284 2.058e+32 1.375e+15 1.000e+07 3.369e-15 7.000e-01 2.800e-01
285 2.068e+32 1.388e+15 1.000e+07 3.266e-15 7.000e-01 2.800e-01
286 2.078e+32 1.401e+15 1.000e+07 3.165e-15 7.000e-01 2.800e-01
287 2.088e+32 1.414e+15 1.000e+07 3.067e-15 7.000e-01 2.800e-01
288 2.098e+32 1.427e+15 1.000e+07 2.972e-15 7.000e-01 2.800e-01
289 2.108e+32 1.440e+15 1.000e+07 2.879e-15 7.000e-01 2.800e-01
290 2.118e+32 1.453e+15 1.000e+07 2.789e-15 7.000e-01 2.800e-01
291 2.128e+32 1.467e+15 1.000e+07 2.701e-15 7.000e-01 2.800e-01
292 2.137e+32 1.480e+15 1.000e+07 2.616e-15 7.000e-01 2.800e-01
293 2.147e+32 1.494e+15 1.000e+07 2.533e-15 7.000e-01 2.800e-01
294 2.157e+32 1.508e+15 1.000e+07 2.453e-15 7.000e-01 2.800e-01
295 2.167e+32 1.522e+15 1.000e+07 2.374e-15 7.000e-01 2.800e-01
296 2.176e+32 1.536e+15 1.000e+07 2.298e-15 7.000e-01 2.800e-01
297 2.186e+32 1.550e+15 1.000e+07 2.224e-15 7.000e-01 2.800e-01
298 2.195e+32 1.565e+15 1.000e+07 2.153e-15 7.000e-01 2.800e-01
299 2.205e+32 1.579e+15 1.000e+07 2.083e-15 7.000e-01 2.800e-01
300 2.214e+32 1.594e+15 1.000e+07 2.015e-15 7.000e-01 2.800e-01
301 2.224e+32 1.608e+15 1.000e+07 1.949e-15 7.000e-01 2.800e-01
302 2.233e+32 1.623e+15 1.000e+07 1.885e-15 7.000e-01 2.800e-01
303 2.242e+32 1.638e+15 1.000e+07 1.823e-15 7.000e-01 2.800e-01
304 2.251e+32 1.654e+15 1.000e+07 1.763e-15 7.000e-01 2.800e-01
305 2.260e+32 1.669e+15 1.000e+07 1.704e-15 7.000e-01 2.800e-01
306 2.270e+32 1.684e+15 1.000e+07 1.647e-15 7.000e-01 2.800e-01
307 2.279e+32 1.700e+15 1.000e+07 1.592e-15 7.000e-01 2.800e-01
308 2.288e+32 1.716e+15 1.000e+07 1.539e-15 7.000e-01 2.800e-01
309 2.296e+32 1.732e+15 1.000e+07 1.487e-15 7.000e-01 2.800e-01
310 2.305e+32 1.748e+15 1.000e+07 1.436e-15 7.000e-01 2.800e-01
311 2.314e+32 1.764e+15 1.000e+07 1.387e-15 7.000e-01 2.800e-01
312 2.323e+32 1.780e+15 1.000e+07 1.340e-15 7.000e-01 2.800e-01
